sep=;
"Versie";"4"
"Taal";"nl-NL"
"Lokale exportdatum";"22.11.2025 13:18:32"
"Exportdatum UTC";"2025-11-22T12:18:32.576Z"
"Tijdzone";"Europe/Berlin"
"Gebruikersnaam";"meidoornstraat4@gmail.com"
"Niveau";"Installatie"
"ID van de installatie";"14399320"
"Naam van de installatie";"meidoornstraat4"
"";""
"Periode";"Vermogen [W]"
"00:05";"0"
"00:10";"0"
"00:15";"0"
"00:20";"0"
"00:25";"0"
"00:30";"0"
"00:35";"0"
"00:40";"0"
"00:45";"0"
"00:50";"0"
"00:55";"0"
"01:00";"0"
"01:05";"0"
"01:10";"0"
"01:15";"0"
"01:20";"0"
"01:25";"0"
"01:30";"0"
"01:35";"0"
"01:40";"0"
"01:45";"0"
"01:50";"0"
"01:55";"0"
"02:00";"0"
"02:05";"0"
"02:10";"0"
"02:15";"0"
"02:20";"0"
"02:25";"0"
"02:30";"0"
"02:35";"0"
"02:40";"0"
"02:45";"0"
"02:50";"0"
"02:55";"0"
"03:00";"0"
"03:05";"0"
"03:10";"0"
"03:15";"0"
"03:20";"0"
"03:25";"0"
"03:30";"0"
"03:35";"0"
"03:40";"0"
"03:45";"0"
"03:50";"0"
"03:55";"0"
"04:00";"0"
"04:05";"0"
"04:10";"0"
"04:15";"0"
"04:20";"0"
"04:25";"0"
"04:30";"0"
"04:35";"0"
"04:40";"0"
"04:45";"0"
"04:50";"0"
"04:55";"0"
"05:00";"0"
"05:05";"0"
"05:10";"0"
"05:15";"0"
"05:20";"0"
"05:25";"0"
"05:30";"0"
"05:35";"0"
"05:40";"0"
"05:45";"0"
"05:50";"0"
"05:55";"0"
"06:00";"0"
"06:05";"0"
"06:10";"0"
"06:15";"0"
"06:20";"0"
"06:25";"0"
"06:30";"0"
"06:35";"0"
"06:40";"0"
"06:45";"0"
"06:50";"0"
"06:55";"0"
"07:00";"0"
"07:05";"0"
"07:10";"0"
"07:15";"0"
"07:20";"0"
"07:25";"0"
"07:30";"0"
"07:35";"0"
"07:40";"0"
"07:45";"0"
"07:50";"0"
"07:55";"0"
"08:00";"0"
"08:05";"0"
"08:10";"0"
"08:15";"0"
"08:20";"0"
"08:25";"0"
"08:30";"0"
"08:35";"0"
"08:40";"0"
"08:45";"0"
"08:50";"24"
"08:55";"48"
"09:00";"48"
"09:05";"60"
"09:10";"48"
"09:15";"96"
"09:20";"48"
"09:25";"120"
"09:30";"132"
"09:35";"168"
"09:40";"216"
"09:45";"228"
"09:50";"372"
"09:55";"408"
"10:00";"252"
"10:05";"132"
"10:10";"156"
"10:15";"168"
"10:20";"204"
"10:25";"300"
"10:30";"384"
"10:35";"384"
"10:40";"420"
"10:45";"480"
"10:50";"372"
"10:55";"288"
"11:00";"228"
"11:05";"300"
"11:10";"372"
"11:15";"336"
"11:20";"408"
"11:25";"312"
"11:30";"372"
"11:35";"396"
"11:40";"516"
"11:45";"468"
"11:50";"444"
"11:55";"396"
"12:00";"408"
"12:05";"444"
"12:10";"420"
"12:15";"948"
"12:20";"936"
"12:25";"1.044"
"12:30";"312"
"12:35";"540"
"12:40";"996"
"12:45";"2.052"
"12:50";"2.184"
"12:55";"2.136"
"13:00";"2.196"
"13:05";"2.280"
"13:10";"2.364"
"13:15";"2.568"
"13:20";"2.292"
"13:25";"1.812"
"13:30";"648"
"13:35";"540"
"13:40";"456"
"13:45";"804"
"13:50";"2.052"
"13:55";"2.184"
"14:00";"2.052"
"14:05";"2.100"
"14:10";"2.268"
"14:15";"1.896"
"14:20";"2.220"
"14:25";"828"
"14:30";"480"
"14:35";"744"
"14:40";"900"
"14:45";"1.716"
"14:50";"1.860"
"14:55";"1.896"
"15:00";"1.848"
"15:05";"1.692"
"15:10";"1.260"
"15:15";"1.044"
"15:20";"1.404"
"15:25";"1.380"
"15:30";"1.260"
"15:35";"1.164"
"15:40";"1.176"
"15:45";"1.068"
"15:50";"840"
"15:55";"564"
"16:00";"444"
"16:05";"204"
"16:10";"156"
"16:15";"132"
"16:20";"108"
"16:25";"84"
"16:30";"60"
"16:35";"48"
"16:40";"24"
"16:45";"12"
"16:50";"0"
"16:55";"0"
"17:00";"0"
"17:05";"0"
"17:10";"0"
"17:15";"0"
"17:20";"0"
"17:25";"0"
"17:30";"0"
"17:35";"0"
"17:40";"0"
"17:45";"0"
"17:50";"0"
"17:55";"0"
"18:00";"0"
"18:05";"0"
"18:10";"0"
"18:15";"0"
"18:20";"0"
"18:25";"0"
"18:30";"0"
"18:35";"0"
"18:40";"0"
"18:45";"0"
"18:50";"0"
"18:55";"0"
"19:00";"0"
"19:05";"0"
"19:10";"0"
"19:15";"0"
"19:20";"0"
"19:25";"0"
"19:30";"0"
"19:35";"0"
"19:40";"0"
"19:45";"0"
"19:50";"0"
"19:55";"0"
"20:00";"0"
"20:10";"0"
"20:15";"0"
"20:20";"0"
"20:25";"0"
"20:30";"0"
"20:35";"0"
"20:40";"0"
"20:45";"0"
"20:50";"0"
"20:55";"0"
"21:00";"0"
"21:05";"0"
"21:10";"0"
"21:15";"0"
"21:20";"0"
"21:25";"0"
"21:30";"0"
"21:35";"0"
"21:40";"0"
"21:45";"0"
"21:50";"0"
"21:55";"0"
"22:00";"0"
"22:05";"0"
"22:10";"0"
"22:15";"0"
"22:20";"0"
"22:25";"0"
"22:30";"0"
"22:35";"0"
"22:40";"0"
"22:45";"0"
"22:50";"0"
"22:55";"0"
"23:00";"0"
"23:05";"0"
"23:10";"0"
"23:15";"0"
"23:20";"0"
"23:25";"0"
"23:30";"0"
"23:35";"0"
"23:40";"0"
"23:45";"0"
"23:50";"0"
"23:55";"0"
"00:00";"0"
